Word,Mean_TFIDF
good,0.0485990642099771
great,0.048005360448701836
quality,0.03514888969856934
price,0.030564365622190743
sound,0.02980449711585727
work,0.025066156237951012
love,0.02422989227402493
charge,0.02403239294536162
product,0.02359410669599246
use,0.022764232250952757
working,0.0213473113192876
fast,0.02040781380155687
easy,0.01981195715188277
really,0.019367098279203934
stopped,0.018776101728288617
picture,0.01799498233492802
laptop,0.016567844517729125
month,0.01650383756351629
tv,0.01560501105853266
would,0.015004000789765494
happy,0.014954915674134341
perfect,0.014758587836172595
camera,0.01444199880898695
recommend,0.014353898427006209
excellent,0.014342556639363725
buy,0.014295121628445527
well,0.014207872465629975
amazing,0.013984592974398512
purchase,0.013895111207528064
noise,0.01365094742199581
light,0.013376908646600745
phone,0.012860922576417298
money,0.012668381099163796
charger,0.012604485226199435
dont,0.012344736749367377
disappointed,0.012247386519786924
terrible,0.012046340969838377
best,0.011913060001912753
clear,0.011710436394824832
like,0.01170224577630377
fit,0.011416941497088204
one,0.011375027085425938
headphone,0.011334524406619636
power,0.011140467836104784
poor,0.011117576427576163
value,0.010915338659952308
set,0.010908885669909187
extremely,0.01063692022415584
bought,0.010530421199876313
battery,0.0105304091048942
im,0.010277093773803451
comfortable,0.009743899901749406
time,0.009599560297029084
charging,0.009444728740904922
fan,0.009380717353205656
expected,0.009315591589500072
device,0.00911917051981289
doesnt,0.009025187372933131
computer,0.00902278006587121
week,0.008730824836324175
couple,0.00866097830330034
worth,0.008529967620761705
perfectly,0.008492483166730909
cable,0.008202012308570351
life,0.007940929199517196
far,0.007879899845028095
bank,0.007697889289541605
cant,0.007669156660226068
last,0.007627970012563452
issue,0.007567063907649315
highly,0.0075181073483278245
quickly,0.007484127222714002
nice,0.007336834859492878
size,0.007299277785056183
job,0.0072855191681314505
ear,0.007247136890359662
bass,0.006971621851719278
carry,0.006968750859579987
connect,0.006899127015209095
quiet,0.00688973622835705
bad,0.0068789263078578074
slow,0.006847287015703139
quite,0.006551399971539665
used,0.00653058347059047
better,0.0065068724026204625
enough,0.006478307247704185
much,0.006407547827227203
return,0.006390742536603326
mouse,0.006272831412746457
faulty,0.006266737366686234
even,0.006215330458920545
impressed,0.006181355736519818
smooth,0.006134565665343265
every,0.006129774494843576
small,0.006021552242345307
screen,0.005902944621529659
get,0.005899391744258759
absolutely,0.005899196567016406
take,0.005772682011539873
clarity,0.005724714043325242
around,0.005722513148377467
new,0.00567308226302752
volume,0.005628202321960379
look,0.005616285057366342
lightweight,0.005560089654824191
say,0.005553855244375486
needed,0.005432085000872935
low,0.005420470307237806
stop,0.005338158475626508
everything,0.005314131357898346
looking,0.005235231607926528
easily,0.005152607679209288
feel,0.005121033197247371
day,0.005089095782295437
absolute,0.005043976509301237
quick,0.005040044505336402
ive,0.00494935985384356
compact,0.004919776112815713
buying,0.004915175814903911
wifi,0.004856422491217224
hardly,0.004831062486859802
call,0.004787983685663946
horrible,0.004749737164341587
wont,0.00471903086061185
minute,0.00471103556265637
long,0.00470036987857577
weight,0.004654966889368203
sharpness,0.0045284567290913855
need,0.0045154166801552416
experience,0.0044501813376666985
tablet,0.00442854388507514
garbage,0.004405275819323406
made,0.004383505890409928
slim,0.0043423440972162495
broke,0.0043100224771319365
fantastic,0.004308357311175344
worked,0.004281096098442374
wear,0.004267629024292646
cancelation,0.004237315461629448
video,0.004206441392574139
plug,0.004203478952644484
user,0.004200773416219461
isnt,0.004112628349032666
play,0.004111251611178374
item,0.004108989093939688
speed,0.00406231941154697
voice,0.004034364168820511
keep,0.004029725087123402
wireless,0.0040282535648318235
hour,0.0040168237402068265
back,0.003972464276341032
make,0.0039528120017483315
loud,0.003920833737009103
first,0.0039034589278966834
awesome,0.0037679318919050858
brilliant,0.0037468706484761116
strong,0.0036850553949188563
movie,0.0036701571641073105
process,0.0036517986939902662
color,0.0036500605898994094
charged,0.0036261308421950095
disappointing,0.003601844719454803
noisy,0.0035556853712992342
within,0.0035451633769983727
year,0.00354410715266613
wouldnt,0.003523364947550864
nicely,0.0034999808148962882
ok,0.0034843053513730943
powerful,0.0034502050746745396
returned,0.0034133681584148003
night,0.003407032364011679
super,0.0033924222825745436
microphone,0.0033748868821670804
delivery,0.003355407459295146
longer,0.003338345655060626
rubbish,0.003324838084605194
fridge,0.0033099457078944105
room,0.003263052115196016
function,0.003249543124875942
fine,0.0032493832733352245
exactly,0.003202864817429774
case,0.0031815796580179686
least,0.003179893313938546
state,0.0031555766305992566
advertised,0.0031295829733632057
waste,0.0030902220261637406
today,0.0030625844632240565
ratio,0.0030587233123820267
lasted,0.003036338782104238
couldnt,0.003013067115119396
brand,0.0030041714980023537
twice,0.003002001740677271
two,0.0029758898076040698
beautiful,0.002975615007396139
unfortunately,0.0029430411927703257
silent,0.002931412889242909
sturdy,0.00292490582941144
anyone,0.0029233464972540507
heaphones,0.002904122610161683
upgrade,0.002904122610161683
nothing,0.0028466588362074134
chip,0.0028024869964397028
beautifully,0.00276624406042314
thin,0.002748684442528297
seemed,0.0027481520041680156
ever,0.002742601619259269
wonderful,0.0027345608603847986
high,0.0027260461856143587
anything,0.0027188515860993656
went,0.0027024550011671027
mount,0.002685918930728485
smoothness,0.002685574110644237
build,0.0026621468216915076
disconnect,0.0026576809245352742
performance,0.00263625554810552
pretty,0.0026309397524287297
recharge,0.0026253934763137464
upset,0.0026184938583182116
hurt,0.0026063792911302066
old,0.00258713381101817
unhappy,0.002586144359292197
move,0.002577818677119239
service,0.0025714165532093156
left,0.002568470502007696
also,0.0025529904985644018
started,0.002548724513329384
ncredibly,0.002545595468698183
compatible,0.002532066810753149
end,0.0025176165661652556
pointless,0.002495032846433259
cute,0.002495032846433259
apps,0.0024934765593049575
cancellation,0.0024703571356597693
app,0.0023961612653723464
enjoy,0.0023960415637503023
hear,0.002384990973621974
overrated,0.002384164049115811
less,0.002369901426136206
school,0.0023602174166268185
theyre,0.0023534984219814583
crackling,0.002325284403072871
crap,0.002325048784046041
plugged,0.0023180089708323636
completely,0.0023080452024337897
didnt,0.0022832075597540775
enjoying,0.002279974181220376
without,0.002277973701425817
tried,0.002250738003724612
iphone,0.0022344187736341756
side,0.0022288370614408307
making,0.0022170973756110075
samsung,0.002205362939047487
perfectespecially,0.002199533993629061
top,0.002194453131607467
daily,0.0021906130807716646
pocket,0.002190292572394796
however,0.002181499304631805
please,0.002181153610045414
cancelling,0.0021526497391852976
command,0.0021517523806383063
model,0.0021421309927914765
television,0.002139260656476123
macbook,0.0021293469421657537
friendly,0.002125778350290082
bothered,0.0021044538775214154
four,0.0021041605302137296
wow,0.0020930297907844936
fully,0.002088062045136585
earphone,0.0020851219711866724
thought,0.0020777105797082198
impressedcouldnt,0.0020776178505226236
ago,0.0020723043876699847
music,0.0020642100208244766
clean,0.0020597220327329612
using,0.0020588012357070926
problem,0.002053046770758007
whatsoever,0.002053046770758007
pay,0.0020495232960889144
allow,0.002046000802129756
level,0.0020384430691103034
trash,0.0020384430691103034
lightning,0.0020379853419742965
lasting,0.002027443091720677
expensive,0.001997910083552368
reset,0.0019970936343686845
built,0.0019874535696634884
length,0.0019867879457063516
led,0.001973264719619498
limited,0.001966261445517338
hard,0.0019527583163519266
way,0.0019473984581477631
supposed,0.0019443272539224144
reason,0.0019379496264739834
distorted,0.0019366446559852004
regret,0.0019308628472831512
trust,0.0019308628472831512
powerbank,0.0019305801616370083
bother,0.0019257479317207236
cheaply,0.0019235712805118117
designed,0.0019235008417058477
honestly,0.0019235008417058477
amera,0.0019106968042952813
come,0.0019099583563274814
review,0.001867985609602864
head,0.001862544405965805
costbenefit,0.0018619307958815153
bassin,0.0018605203177041757
note,0.0018555258407868872
agai,0.0018520485645172168
never,0.0018520485645172168
average,0.0018452490219812883
see,0.0018383372668595492
hand,0.0018274757375043678
wire,0.0018192755155884155
expectation,0.0018169065354248382
exceeded,0.0018169065354248382
efficient,0.001807407539949939
suck,0.0018024754524996168
slimline,0.0017865062064343306
synch,0.0017865062064343306
recommended,0.0017719431986188562
spent,0.0017532569336366482
dollar,0.0017532569336366482
sharp,0.001746612899888173
put,0.0017459880917226993
concelling,0.0017360850938432234
puff,0.001729522575766651
air,0.001729522575766651
powerfulportable,0.0017101650206700048
experiencing,0.0017021444269069569
another,0.0016951617102584672
though,0.001691773570620291
worthy,0.0016911927813612867
thus,0.0016859961794829458
daughter,0.0016852615787268095
excited,0.0016852615787268095
unit,0.0016849242669046641
office,0.0016849242669046641
convenient,0.0016844993195453467
mounted,0.0016792252453182188
mic,0.0016514012114698228
construction,0.0016399160161039426
deal,0.0016312190195178473
definitely,0.0016312190195178473
bag,0.0016278346470322586
book,0.0016278346470322586
think,0.0016272899031440245
youd,0.0016272899031440245
storage,0.0016238125538212101
louder,0.0016179596249950258
wish,0.0016179596249950258
lack,0.0016153321171904057
dissapointed,0.0016085262220250757
child,0.0015989244257438992
christmas,0.0015989244257438992
resolution,0.001596983290973869
phenomenal,0.001596983290973869
east,0.0015821043663659965
huge,0.0015821043663659965
laggy,0.001576622178828577
olume,0.001576622178828577
near,0.0015690047949152484
anywhere,0.0015690047949152484
pocketgood,0.0015613620890035898
compacteasy,0.0015613620890035898
task,0.0015574546990859068
everyday,0.0015574546990859068
basic,0.0015574546990859068
ram,0.0015474018654913614
blazing,0.0015474018654913614
combo,0.0015474018654913614
travel,0.0015433808410547799
whenever,0.0015433808410547799
robust,0.0015392784163076004
complain,0.0015132158401507663
many,0.0015132158401507663
found,0.001509632295404869
terribly,0.0015006588187809768
electric,0.0014984190096891724
tripping,0.0014984190096891724
viewing,0.0014761141966945556
financing,0.001474031412007219
helping,0.001474031412007219
hassle,0.0014638133121245597
fuss,0.0014638133121245597
lot,0.0014585896598326592
static,0.0014585896598326592
load,0.0014519696732088242
start,0.0014519696732088242
turn,0.0014519696732088242
fitting,0.0014512533239573
portable,0.0014512533239573
stylish,0.001450641727621419
colorful,0.001450641727621419
bright,0.001450641727621419
speedy,0.0014424787248543585
going,0.0014424787248543585
multiple,0.0014424787248543585
wrong,0.001442276393283609
fade,0.001437477406518759
instead,0.0014361746210925267
comfy,0.0014283551237363487
reasonably,0.001426493410855396
cheap,0.001426493410855396
rd,0.0014161441747577877
worst,0.0014161441747577877
capacity,0.0014161441747577877
loos,0.0014063499701826713
signal,0.0014063499701826713
ultralight,0.0014024484834961127
totally,0.0014024484834961127
design,0.0014024484834961127
wall,0.0014024212969688374
selected,0.0014024212969688374
studio,0.0013966899052049438
sadly,0.0013966899052049438
podcasting,0.0013966899052049438
connection,0.0013957437471903138
soundsnice,0.0013957437471903138
still,0.0013875143957045428
contrast,0.0013864528296833694
others,0.0013864528296833694
equal,0.0013864528296833694
previous,0.0013803342022076692
unlike,0.0013803342022076692
full,0.0013687457572198647
despite,0.0013687457572198647
flash,0.0013685093456971486
lighting,0.0013685093456971486
comfortably,0.0013614818983285909
exercising,0.0013614818983285909
headache,0.0013589423656654672
read,0.0013589423656654672
reliable,0.0013551278648837746
let,0.0013551278648837746
done,0.0013551278648837746
image,0.001352845081051216
unimpressed,0.001352845081051216
instruction,0.001352845081051216
discrete,0.0013516418170007427
alot,0.0013442633915270675
snapchat,0.0013442633915270675
approx,0.0013298993994712918
known,0.0013280290207499739
tell,0.0013222875263054162
repeated,0.0013153854562154665
seems,0.0013153854562154665
order,0.0013153854562154665
purchased,0.0013119159216523897
energy,0.0013119159216523897
bud,0.0012940747709032723
cutting,0.0012940747709032723
frustrating,0.0012940747709032723
changed,0.0012940249821995521
sofa,0.0012925330011849838
next,0.0012925330011849838
green,0.0012918594332595376
different,0.0012896653730994272
setting,0.0012896653730994272
medium,0.0012896653730994272
turbo,0.0012875075461652962
brought,0.0012875075461652962
normal,0.0012875075461652962
desk,0.0012875075461652962
counter,0.0012805025434403383
soon,0.0012791528165449443
thinking,0.0012791528165449443
lovely,0.0012719677834505734
window,0.0012707082427351843
closed,0.0012707082427351843
approximately,0.0012693440474651158
froze,0.0012693440474651158
spoty,0.0012600006188653882
constructed,0.0012526297534910425
simple,0.0012526297534910425
sleek,0.0012526297534910425
blow,0.0012465721517441158
sor,0.0012465721517441158
mush,0.0012465721517441158
properly,0.0012458302954749371
classy,0.0012391287322042427
complete,0.0012391287322042427
ad,0.001238672452207723
might,0.001238672452207723
suggest,0.001238672452207723
profile,0.0012364254125671005
content,0.0012364254125671005
mpressive,0.0012364254125671005
across,0.0012364254125671005
refrigerator,0.0012291815247053646
recovery,0.0012288247319044683
son,0.0012288247319044683
factory,0.0012288247319044683
summer,0.0012251271409808111
mean,0.0012251271409808111
motor,0.0012251271409808111
getting,0.0012251271409808111
always,0.0012217009728789818
almost,0.0011946487548089254
lost,0.0011946487548089254
false,0.0011917084332209971
constantly,0.0011917084332209971
advertisement,0.0011917084332209971
option,0.0011858479202021643
havent,0.0011798701753912067
editing,0.001174348929369331
stuff,0.001174348929369331
programming,0.001174348929369331
people,0.0011685125532457136
away,0.0011685125532457136
complaining,0.0011685125532457136
baby,0.0011577015256075578
monitor,0.0011577015256075578
offline,0.0011520201288897588
estimate,0.0011358440710966093
got,0.0010936840688544368
hydroponics,0.0010936840688544368
grower,0.0010936840688544368
nextdoor,0.0010936840688544368
functionality,0.001085815457478958
durable,0.001085815457478958
capability,0.001085815457478958
overall,0.001085815457478958
secure,0.0010825839604655882
port,0.0010825839604655882
something,0.001067336705814893
place,0.001067336705814893
adjuster,0.001067336705814893
itll,0.001066649004651465
spin,0.001066649004651465
second,0.001066649004651465
struggling,0.001066649004651465
half,0.001066649004651465
listening,0.001062312930744531
recording,0.001062312930744531
etc,0.001062312930744531
musicpodcast,0.001062312930744531
vn,0.001062312930744531
pricegood,0.0010434519432117888
find,0.0010434519432117888
cheapy,0.0010080427870717342
specifically,0.0010080427870717342
said,0.0010080427870717342
current,0.0010080427870717342
chargebought,0.0010080427870717342
wind,0.0010027141019156034
caller,0.0010027141019156034
ground,0.0010027141019156034
description,0.0009965132897631517
sd,0.0009965132897631517
playback,0.0009965132897631517
card,0.0009965132897631517
difficult,0.0009965132897631517
defo,0.0009862276448534435
amount,0.0009862276448534435
creating,0.0009775217848388904
overheat,0.0009775217848388904
studying,0.0009775217848388904
limit,0.0009775217848388904
later,0.0009750862278560669
store,0.0009742994418958648
pathetic,0.0009742994418958648
google,0.0009742994418958648
amazon,0.0009742994418958648
stainless,0.0009736575189827862
steel,0.0009736575189827862
solid,0.0009736575189827862
braided,0.0009736575189827862
appear,0.0009639018845302675
sending,0.0009639018845302675
type,0.0009639018845302675
software,0.0009639018845302675
keyboard,0.0009639018845302675
glitchy,0.0009639018845302675
refund,0.0009639018845302675
forever,0.000947710927261902
attractive,0.000947710927261902
cup,0.0009307473846515177
tight,0.0009307473846515177
uncomfortable,0.0009307473846515177
clamping,0.0009307473846515177
force,0.0009307473846515177
soft,0.0009300850382565099
right,0.0009300850382565099
ill,0.0009300850382565099
able,0.0009300850382565099
button,0.0009300850382565099
press,0.0009300850382565099
cheaper,0.0009300850382565099
original,0.0009273425438638341
potential,0.0009273425438638341
noticeably,0.0009273425438638341
replaces,0.0009273425438638341
aware,0.0009273425438638341
slower,0.0009273425438638341
buyer,0.0009273425438638341
ordered,0.0009154164342995345
functional,0.0009154164342995345
severe,0.0009154164342995345
echoing,0.0009154164342995345
mind,0.0009127042269831263
everywhere,0.0009127042269831263
want,0.0009127042269831263
except,0.0009127042269831263
cursor,0.0009127042269831263
go,0.0009127042269831263
turned,0.0009114874141290291
turning,0.0009114874141290291
broken,0.0009114874141290291
privacy,0.0009114874141290291
mode,0.0009114874141290291
crashed,0.0009114874141290291
usb,0.0009045515552415405
aa,0.0009045515552415405
responsive,0.0009045515552415405
standard,0.0009045515552415405
stored,0.0009045515552415405
inside,0.0009045515552415405
close,0.0009021736748991926
cut,0.0009021736748991926
blade,0.0009021736748991926
foil,0.0009021736748991926
simply,0.0009021736748991926
youtube,0.0008997551069477499
watching,0.0008997551069477499
freeze,0.0008997551069477499
watch,0.0008997551069477499
esrbuds,0.000896112726080441
earbuds,0.000896112726080441
actually,0.000896112726080441
range,0.000896112726080441
lag,0.000896112726080441
bluetooth,0.000896112726080441
crystalclear,0.0008949079660756736
exceptional,0.0008949079660756736
deep,0.0008949079660756736
mids,0.0008949079660756736
rich,0.0008949079660756736
balanced,0.0008949079660756736
alive,0.0008949079660756736
comforting,0.0008878224687893473
youre,0.0008878224687893473
giving,0.0008878224687893473
handbag,0.0008878224687893473
hold,0.0008878224687893473
know,0.0008878224687893473
reassurance,0.0008878224687893473
fairly,0.0008830114832201626
actual,0.0008830114832201626
die,0.0008830114832201626
airpods,0.0008830114832201626
several,0.0008316121762362512
tested,0.0008316121762362512
discharge,0.0008316121762362512
magnetic,0.0008257006057349114
piece,0.0008257006057349114
annoying,0.0008257006057349114
hearalways,0.0008257006057349114
wanted,0.0008220751615947863
notits,0.0008220751615947863
compared,0.0008220751615947863
indicated,0.0008220751615947863
sent,0.0008220751615947863
wassadly,0.0008220751615947863
